author_steamid,appid,author_num_games_owned,author_num_reviews,author_playtime_forever,author_playtime_last_two_weeks,author_playtime_at_review,author_last_played,review,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,written_during_early_access,language,timestamp_created,timestamp_updated
76561197960267615,248820,0,92,1901,0,1731,1499130117,ローグライクアクションゲーム。 慣れればクリアは簡単ですが、アイテムや種族がunlock形式なのでこれをある程度終わらせるまでは クリアそのものが難しいのが難点。  co-opも面白いです,True,3,0,0.5508982,0,False,japanese,1403345978,1403345978
76561197960308239,240,0,1,36536,0,11489,1649706122,"Older and more mature audience compared to cs go, which is habitated by cultural cretins.",True,1,0,0.5217391,0,False,english,1587502115,1587502115
76561197960318983,336130,357,18,107,0,107,1480275499,2 hours into the game and I'm quitting. I feel like I've solved only one real puzzle so far. The story up to this point is weak and doesn't get me hooked. Overall doesn't give clear goals and there really is no sense of accomplishment in this game. This really isn't in the league of Gemini Rue or Primordia. Very disappointing.,False,5,0,0.47796974,0,False,english,1480275909,1480275909
76561197960320115,2100,0,3,1685,0,1635,1482763685,"+Wiederspielwert, durch unterschiedliche Rollen (Nahkämpfer[Schwert,Dolch,...], Zauberer, Fernkämpfer) +Umgebung teilweise nutzbar für Kämpfe.",True,1,0,0.5217391,0,False,german,1480369426,1480369426
76561197960338254,380600,183,10,170,0,81,1592015498,"Several issues under Linux that make this not recommended until they fix them.  Will update this review as progress is made on the fixes, as well with review of gameplay. First 45 minutes was spent just trying to get it to work. :-)",False,1,1,0.47648516,0,True,english,1451801918,1451801954
76561197960365787,359900,0,10,2205,0,1821,1433261079,Update: As of update 1.0.2 a lot of the bugs are fixed and the game is finally playable and I look forward for some new content updates. This game still has a way to go but its worth its buck and just will get better over time.   Old: As of now when I write this the game is completely broken v1.0.1 would recommend to wait until it get fixed other than that the game is awesome but for now i will give it no recommendation until it is fixed. I will update the review later.,True,0,0,0.0,0,False,english,1432547046,1432862723
76561197960375061,242050,0,1,5534,0,2664,1394972782,"Juste énorme ! Même si certaine critique le plombe un peu, j'ai adorer chaque seconde de jeux.   L'IA est à la ramasse, c'est répétitif, ... Certe mais c'est Assassin's Creed personnellement je ne m'attendais pas à plus sur ces points la.  J'en ai pris plein la vue du début à la fin. Les phases sous l'eau sont assez sympatique. La partie navigation dans les Carïbes c'est juste magnifique. AC IV BF m'a vaiment fait réver par ses paysages. Ce jeux est remplis d'activité annexe ce qui lui donne une durée de vie tout à fait correcte en plus. ",True,0,0,0.0,0,False,french,1386474500,1386474500
76561197960385060,480490,0,14,2848,0,2848,1504994245,This is a really good game! :),True,1,0,0.0,0,False,english,1504820347,1504820347
76561197960397750,730,22,1,16397,0,1529,1583511552,+,True,1,0,0.52380955,0,False,russian,1572603400,1572603400
76561197960399010,35130,0,18,188,0,81,1514671980,"Todo lo de nuestra amiga Lara es muy divertido e intrigante, este cambio de jugabilidad es muy interesante.",True,0,0,0.0,0,False,spanish,1498838895,1498838895
76561197960410802,107100,0,1,609,0,609,1362297600,Literally one of the best games I have every played. Music and naration + style so good.,True,0,0,0.0,0,False,english,1403154345,1403154345
76561197960448223,211820,0,4,2724,0,1438,1405040402,"I thought this game was going to be Terraria all over again with spaceships, turns out I was right. More importantly, this game is Terraria with spaceships, and Giant Robots.  Starbound needs even more spaceships and giant robots.",True,1,0,0.52,0,True,english,1388400901,1388400901
76561197960448223,266210,0,4,1748,0,1734,1421966629,A surprisingly entertaining game that feels like a halfway point between the more classic roguelike Elona and a more unique roguelike such as Half Minute Hero. Definitely worth checking out.,True,0,0,0.0,0,False,english,1404787949,1404787949
76561197960463429,280790,0,1,9000,0,1873,1655644139,it is a good avencher game fore creative pepole,True,0,0,0.0,0,False,english,1600023017,1600023017
76561197960477697,232430,3315,31,47,0,5,1409362334,"One of my GOTYs. If you like storytelling and walking sims, you have to play it... 100% recommended!",True,0,0,0.48,0,False,english,1384470929,1515069603
76561197960477864,730,0,1,63348,0,4227,1696777068,not bad :),True,0,0,0.0,0,False,english,1347976471,1347976471
76561197960490057,10,0,1,922,0,922,1427048852,GG,True,0,0,0.0,0,False,english,1426971561,1426971561
76561197960499853,233290,1459,260,368,0,368,1425835457,"Juego de investigación normalillo con fantasmas y asesinatos misteriosos, ambientando en el pueblo de Salem en la actualidad. La movida paranormal no es demasiado rebuscada.  El aspecto de investigación es similar al L.A. Noire, vamos buscando pistas por el escenario del crimen y al final intentamos hacer una reconstrucción de los hechos. Normalmente es fácil si tenemos todas las pistas, lo complicado es encontrar algunas de ellas que están bien escondidas, y no hay mucha ayuda visual más allá de un indicador cuando miramos hacia ellas. Normalmente no es un problema, pero cuando llevamos un rato con 11 de 12 pistas encontradas, resulta molesto.  Aparte de eso hay algunas partes de sigilo (bastante olvidables, la verdad), y muchos collectibles con pequeñas historias y casos secundarios repartidos por todos los escenarios, que recompensan la exploración. Sin ellos el juego llevaría un par de horas menos tranquilamente.  No es el recopetín, pero la historia avanza a buen ritmo y no se hace pesado.  Ah, y podemos poseer gatos y maullar. ¿Qué más podemos pedir?",True,2,0,0.54545456,0,False,spanish,1425836263,1425836263
76561197960512741,835430,0,65,3397,0,3198,1643028806,"Hard as Fuck and Satisfying  without any limits. A Metrovanias Fans wet dream! Great Gameplay, Riddles, Music, Bosses and Content.  Must Have. Play also the previous Title!",True,2,0,0.0,0,False,english,1533687539,1533687539
76561197960537685,287390,305,71,490,0,430,1486816767,Ebin,True,0,0,0.0,0,False,english,1540500829,1540500829
76561197960550225,42170,1768,58,50,0,50,1340089200,"Normally I would have some quirp or joke about a game like this.  However this review from RPS sums up every single thing I have to say about the game so succintly that I opted to simply post a link to the review here:  http://www.rockpapershotgun.com/2012/06/19/wot-i-think-krater/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+rockpapershotgun%2Fsteam+%28Rock%2C+Paper%2C+Shotgun%3A+Steam+RSS%29  GJ RPS!!  Decent game, but stay away until it is VERY cheap.",True,0,0,0.0,0,False,english,1340124121,1340124121
76561197960713566,70600,0,85,2726,0,1736,1682762962,Excellent comme d'habitude avec Worms !!,True,0,0,0.0,0,False,french,1597397684,1597397684
76561197960784323,237890,227,49,13209,0,10841,1489961709,"Bought this game because I was really missing the Fire Emblem series/Final Fantasy Tactics and needed to play something similar.   Pros: - Long with each generation having it's own story line. - Very Replayable. Choice of mate influences future characters and different possible story outcomes with Dark/Light and turn meter. Can travel back to previous chapters once completed. - Art is very nice. - Crafting system allows for a lot of ways to change up gameplay. - Combat system is and engaging/interesting. Being able to string moves together to make combos (including ultimate moves)  Cons: - VERY VERY grindy. Party AI in auto-mode is very reckless and will not use skills/items in context (person with Rez skill would attack instead of ressurecting teammate). So you cannot trust automode.Some bossfights are just completely unfair at times due to what the game expects you to be for the boss fight vs what the monsters leading up the boss are actually at. - Steep learning curve. There's a lot of game mechanics that don't have a lot of good explanation, and some things that look optional are essential for progression. - DLC weapons are insanely overpowered at the start of the  game.   Other:  - Fully voiced japanese audio (with english subtitles) - DLC is very optional, but very OP when starting out.   I haven't beaten the game yet, but I'm well over 100 hours total. I'd like to get back into it, but I think next time I'll start out with the DLC items to speed the start of the game up. This game will definitely eat up time",True,44,1,0.7740391,0,False,english,1418627349,1418627349
76561197960791326,108800,0,8,1479,0,787,1656922714,awesome play...,True,0,0,0.0,0,False,english,1580718691,1580718691
76561197960793115,107410,197,2,4386,0,3684,1621822918,good,True,0,0,0.499103,0,False,english,1546128500,1546128500
76561197960923362,779340,0,14,970,0,170,1616095825,"It's a good Total War game, but not their best.",True,0,0,0.0,0,False,english,1574820185,1574820185
76561197960938005,282070,0,6,1003,0,663,1591285832,"This War Of Mine vermittelt auf schonungslose, zum Nachdenken anregende Weise, wie eine Gruppe Zivilisten im Krieg überlebt.",True,0,0,0.0,0,False,german,1465144772,1465144772
76561197960944326,957790,0,9,383,0,217,1607920374,"Pretty new to this game, but its a lot of fun. Using on a quest 2 and having a blast.",True,2,0,0.0,0,False,english,1604879987,1604879987
76561197960954796,379720,405,81,2893,0,1307,1688441910,"Holy crap this game...  id made a next-gen Doom that is just as fast-paced and thrilling to play as Doom 1 and 2, and gained back everything Doom 3 lost with its pitch black corridors and jump scares.  IF. YOU. STAND. STILL. YOU. DIE.  Great Doom weapons with a useful selection of mods, a real reason to need to use the chainsaw.  Get this game. Play this game. Love this game. Glory kill all the things. Doom is life.  (best father's day present ever.)",True,2,0,0.5033113,0,False,english,1467516068,1467516103
76561197960986794,526870,81,5,5277,0,4043,1594509649,kann man machen,True,0,0,0.0,0,True,german,1594208064,1594208064
76561197961025317,500,0,144,9133,0,9133,86400,Decent when it first came out. L4D2 has trumped it. Wouldn't pick it up now.,False,0,0,0.4978903,0,False,english,1322590175,1387223061
76561197961025317,209830,0,144,346,0,346,1342508400,"Lone Survivor is a 2D psychological survival horror game. The graphics are very 32-bit retro sprites which are sadly excessively pixelated. The music is moody and appropriate and the sound effects will immedately be reimicent of Silent Hill. The controls are rubbish, making combat a real hassel, and since the game is 2D the only way to bypass enemies is to find context sensitive hide spots or distract them.  The plot is limited, but it is executed in way that shows rather than tells cutting out backstory exposition by integrating it into the visuals. It's not a particularly great or intriguing story and the game is actually very very short which is disappointing for a survival horror genre game.  It's an okay game, but I would only pick it up if it's on sale, below 5 bucks.",True,0,0,0.0,0,False,english,1342817831,1342817831
76561197961053359,477160,0,1,65,0,65,1516082975,Too frustrating -- I regret this purchase.  Not enough content and its pretty difficult to learn basic things like climbing.,False,3,0,0.43016347,1,False,english,1517177426,1517177426
76561197961166726,321040,0,36,78,0,78,1479271052,Thanks Obama.,True,1,0,0.50759035,0,False,english,1479076345,1479076345
76561197961229373,681660,55,5,285,0,285,1527628712,"Requested refeund after 4hrs of play. Combat system is just bad IMO, it is almost like they want you to constantly die with the amount of time it takes to combo, and god forbid if you miss! Translations were horrible, took me forever just to get out of tutorial because of the lack of info. At first the quest line seemed really fun and I was actually enjoying it until around level 11 where the story stops until around level 30....I mean really? I bought the founders to find out its all character bound which is just garbage! Plus the boost you get from it isnt even worth it! Like a 10% combat exp boost!?  You do a quest line just to finish it to progress to the next but wait! your two levels to low to progoress so go grind on these mobs for 3 hours, which you have to figure out on your own because the game wont lead you there or trys to with horrible translations! This is the first time in my 15 years of gaming that I EVER requested a refund! Hell I have had this steam account for almost 15 years and this is by far the worst game I have ever bought. SAVE YOURS MONEY PEOPLE ITS A CASH GRAB!",False,2,0,0.52380955,0,True,english,1527691431,1527691431
76561197961646312,606800,0,2,125,0,115,1587580636,"Can be a bit repetitive. Sometimes tasks aren't very clear, but overall its a fun experience",True,0,0,0.0,0,True,english,1562188956,1562188956
76561197961662796,218620,893,5,17125,0,13703,1679167448,"Крутой сетевой шутер с системой прокачки, где ты выбираешь, свою роль в команде. Большое количество ограблений, различные режимы, интересные сюжеты, продуманные карты, куча оружия и модификаций к ним. Радуют частые обновления, ивенты и новый контент. Советую брать эту игру, тем более на неё частенько бывают скидки. Оценка игры: 9/10 клокеров.",True,0,0,0.0,0,False,russian,1511625644,1542983468
76561197961756970,627690,0,3,1102801,0,692908,1623208595,"As a fan of Dungeons and Dragons its great to see characters I know from books and podcasts come together to complete quests. The Dev team is awesome and a discord sever helps keep in touch with them, other players and is a great resource for learning more about the game.   A new character is unlocked every two weeks and on the weeks in-between your able to access the time gate to unlock gear for them.  The game it self is idle, so once you get the hang of it there isn't much to do but gain influence with the different gods. However variant quests offer challenges that require your attention.",True,2,0,0.5063824,2,False,english,1587234662,1587234662
76561197961828385,578080,0,4,123189,1588,53793,1698759695,挂太多，总被人杀。。。。。。,True,0,0,0.0,0,False,schinese,1575160708,1606635175
76561197961844052,606880,0,25,2155,0,1500,1569699905,"Hitting main questline stopping bug at 25 hours in that originates from 10-15 hours ago, i can't really recommend this game to anyone at this point. I hate that we are being served unfinished games today as a rule.",False,1,1,0.0,0,False,english,1568442119,1568442119
76561197961952450,319630,2332,2,1062,0,812,1477753880,"This game was amazing, but now I need to punch a wall to feel like a man again D:",True,0,0,0.0,0,False,english,1446999307,1446999307
76561197962005570,212680,325,3,2366,0,1805,1626422881,"It's cheaper than your lunch, and you will spend more time with it, do get!",True,0,0,0.0,0,False,english,1348760693,1392032336
76561197962027605,229810,0,47,60,0,60,1531772649,Underrated shmp. Unique controls for each character creates a challenge.,True,5,0,0.5062152,0,False,english,1489951773,1489951773
76561197962044333,6000,121,4,650,0,422,1476110067,"О это музыка в главном меню,мммм музыка из детства",True,2,1,0.47619048,0,False,russian,1451221875,1451221875
76561197962044333,271590,121,4,25185,0,12410,1611642246,Стоит своих денег,True,1,0,0.5217391,0,False,russian,1437065559,1437065559
76561197962159840,230230,206,2,302,0,299,1411611969,"Was hoping for a Path Of Exile or even Diablo style adventure, but so far after 4 hours, I'm still plodding around the starter town trying to finish quests. Very confusing and dissapointing outside of combat, and the unique combat mechanic does more harm than good. Sadly, a dissapointment, despite the positive press.",False,2,0,0.40441558,0,False,english,1404611217,1404611217
76561197962225421,730,15,1,99283,0,31286,1694947408,kanser,False,0,1,0.0,0,False,turkish,1562495604,1562495604
76561197962264242,646910,0,6,176,0,176,1677605997,"Terrible car control, the first one was way better",False,1,0,0.0,0,False,english,1606429044,1606429044
76561197962408591,221020,1319,11,22,0,22,1387910371,"""DO NOT BUY.  Developer has walked away from the game, it is no where near finished enough to be considered a """"game"""".  You are better off getting Dwarf Fortress and it's free.""",False,2,0,0.0,0,False,english,1403605379,1403605379
76561197962657467,359310,0,2,1895,0,1895,1489022689,"Ein tolles Spiel, was viele Erinnerungen an damals gespielte Spiele weckt. Hat zwar hier und da ein paar Schwächen, aber ist insgesamt empfehlenswert, wenn man schon ein bisschen Videospiel-Geschichte hinter sich hat.",True,0,0,0.0,0,False,german,1511379924,1511379924
76561197962660508,214340,0,1,336,0,336,1495053432,cool game !,True,0,0,0.0,0,False,french,1562263668,1562263668
76561197962717006,730,0,1,16467,0,907,1563812882,baba,True,1,0,0.50248754,0,False,german,1496431084,1496431084
76561197962725340,789730,99,7,104,0,92,1651332679,5/6 good,True,1,0,0.5035642,0,False,english,1592141587,1592141587
76561197962728576,47410,0,12,9,0,9,1595128992,directx 에 문제가 생겼습니다. 호갱지원에 문의하십시오.  라는 메세지만 반복될 뿐.. 실행도 되지 않는다.,False,2,2,0.54545456,0,False,koreana,1595128138,1595128138
76561197962858352,314810,0,1,1431,0,1427,1499453664,"Fantástico juego de videoaventura, llevaba tiempo buscando juegos que me dieran las sensaciones noventeras de juegos como DIG o Full Throttle.   Muy sencillo de jugar, el apartado artístico es muy bueno, me gustan mucho los personajes y caracterización. Los diálogos son muy buenos y los doblajes.....   sublimes!!!  se ve que está hecho en un buen estudio de doblaje y con cariño, buenas entonaciones con las voces de bigbang theory, la de Bruce Willis, etc..  gran doblaje que mejora mucho la experiencia de juego.   Es un juego de puzzles sencillo, se trata de cojer objetos y luego combinarlos y usarlos para salvar situaciones, en cuanto a la dificultad, yo diría que es mas bien fácil, aunque siempre te puedes atascar en algún momento, en ese caso hay un youtuber español que se llama gona89 que se pasa todo el juego, además el chaval es muy majo.  Además lo conseguí de oferta y por muy poco precio me ha dado muchas horas de risas y diverson.  Si te gusta este género cómpralo, no te arrepentirás.",True,2,0,0.49469966,0,False,spanish,1460712568,1460712568
76561197963240638,393380,167,1,15192,0,3182,1696996300,good game,True,1,0,0.50248754,0,True,english,1501351215,1501351215
76561197963430778,447820,0,2,871,0,594,1537014641,+++++++++++++++++++++++++++++,True,0,1,0.0,0,False,english,1508116837,1508116837
76561197963432486,242720,0,8,74,0,74,1393496939,Same crappy GUNZ as the first crappy Gunz,False,0,0,0.0,0,False,english,1397681670,1397681670
76561197963501127,660880,126,18,1203,0,11,1572310656,"This game is incredibly well done. The early game to late game transition is absolutely flawless. The possibilities are endless for travelling throughout the world as a bee. Music is well made and visuals are well done, slight bugs but I get it, this is a first release, I'm looking forward to future patches, as it stands, there's no collission and it is a bit weird being able to dive through grass and dirt. The only downfall of the game right now are the controls which are a bit difficult to get used to but once you're over that learning curve you'll be sailing the skies like a true bee.  *HIGHLY RECOMMENDED*  Visuals: 14/16 Soundtrack: 85/5 Gameplay: 2/2 Overall: F/94",True,2,3,0.5217391,0,False,english,1498682985,1498682985
76561197963591114,730,16,5,195437,333,52993,1698966467,easy,True,2,2,0.54545456,0,False,spanish,1554333510,1562185178
76561197963805184,730,0,1,933,0,836,1521311180,+rep,True,0,0,0.0,0,False,english,1512449008,1512449008
76561197963900975,241930,328,6,2884,0,2042,1625346736,"It has been a while that I didn't enjoy a solo game like that. Open world + nemesis system allow you to stop the main quest and enjoy a lot of activites such as killing orcs, mount caragors and my favorite death treath capatins and finish them using a nice head explosion (when  possible ).  If you search for a game that worth some money  as a solo game : you just found it.",True,0,0,0.0,0,False,english,1452979284,1452979284
76561197964016360,70400,0,15,258,0,258,1347519600,"This game is lots of fun, despite being cutesy. Totally worth the small amount they ask for it.",True,0,0,0.0,0,False,english,1309714458,1309714458
76561197964101590,258180,0,28,384,0,384,1395724945,"This game is fun but there are more bugs in it than the insect pavillion at the zoo.  The most prevelent of these is the sound bug, which effects not only dialouge, but the general area effects as well.   Also, this game ends after Panama is completed.   Which makes it a short, buggy experience.   If all the missions worked and the sound issues were eliminated, this would be awesome game.   Reccomendation:  WAIT FOR A BUG-FIX PATCH!",False,0,0,0.0,0,False,english,1395805253,1395805253
76561197964160524,240,0,1,15335,0,15132,1592855394,"Great gameplay, simple and effective",True,0,0,0.0,0,False,english,1575915762,1575915762
76561197964286435,834910,0,1,22450,0,12237,1692552229,good crafting good pve good pvp  its a good game.,True,2,2,0.39341918,0,True,english,1555249066,1555249066
76561197964353758,256500,235,18,0,0,0,0,I'd play it.,True,2,0,0.43511763,0,False,english,1414380173,1414380173
76561197964463679,10,0,3,66645,0,63580,1587825779,"Лучшая игра, никогда не устареет!",True,1,0,0.52380955,0,False,russian,1469834141,1469834141
76561197964485987,4000,0,7,66590,0,65573,1586373609,i played this game for 900+ hours and it's still fun,True,0,0,0.0,0,False,english,1303568841,1303568841
76561197964496979,440,0,6,679,0,679,1343804400,awesomly funny with great sound track,True,0,0,0.0,0,False,english,1344071565,1344071565
76561197964610146,55110,0,13,178,0,178,1318575600,Games amazing if you like to create distruction and dominate another planet.,True,0,0,0.0,0,False,english,1325025357,1325025357
76561197964621701,221910,0,17,57,0,57,1474849810,"Different and slightly entertaining, but not really that engaging for me.",False,8,1,0.48330632,0,False,english,1477189700,1477189700
76561197964640282,247020,0,8,17,0,17,1434955454,"Overly complex for what it is and steals the fun away.  The premise is you select items to cook, and as you advance you can buy equipment to cook more advanced items.  The main problem is the interface for things like the pizza. You have to tab to a second page for ingredients. There's some ridiculous items like wine, where you have to tap like mad to open a cork, and some stupidly easy ones like the corndog where you hit one of two choices. The game suffers from a clunky interface.  Beyond that, it's just about memorization and how good your typing skills are, and the layers of overcomplexity kill the fun. ",False,5,1,0.44710606,1,False,english,1434957813,1434957813
76561197964810014,252950,0,39,12744,0,9217,1636916950,"Conceptualmente sencillo, pero imposible de dominar. 10/10.",True,0,0,0.0,0,False,spanish,1513982952,1513982952
76561197964924827,435490,1514,5,44,0,14,1553405207,"Pros: +Already many machines to play with (and more will come) +Multiplayer  +Leaderboards +Cheap price +That feel when you throw a coin into a  machine +Intuitive controls  Cons: +I am so bad at claw machine, can I have that pink bear already please? +You need a VIVE to play this (which isn't really a con if you owned one) +No darts, air gun shooting, pinball machines (yet)   For what this game costs, it totally worth it. Highly recommended this.",True,5,1,0.56562096,0,True,english,1459959657,1459959657
76561197964929977,249230,0,1,752,0,513,1421427491,:),True,0,0,0.0,0,False,german,1419713125,1419713125
76561197964945028,1091500,0,1,2519,0,930,1608990613,굿,True,0,0,0.0,0,False,koreana,1607749124,1607749124
76561197965007948,664260,0,1,7409,0,115,1670092808,"I used to play COH all weekend and never got any dates because of it. Build base, play games, start over. Now since I began EIR, I now have yuge veiny vascular forearms from all the intense micro required. My digital soldiers are all now Fookin GI JOEs with veterancy level fiiiive. Fooking 5. Now when I goto bars and roll up my sleeves and then shortly after I must roll up my pants from all the fooking splooshing womens when they see my doubleclick sized forearms. Hot Damn. This game has changed my life. Mod your COH and your life from NEWB TO PREAUX.",True,16,15,0.566146,0,False,english,1592274435,1592274435
76561197965126432,730,0,2,272276,0,211411,1630836858,sfdsfdf,True,1,0,0.52380955,0,False,brazilian,1557532451,1557532451
76561197965136246,447820,66,7,1236,0,1042,1552933237,"Siihen mihin DoD jäi, tämä peli jatkaa. päivitettynä, huima meno, tätä jaksaa vaikka kuinka! ",True,0,0,0.0,0,False,finnish,1511714518,1511714518
76561197965157277,221100,0,4,38094,0,32243,1659538363,"Please Finish DayZ, before you do any DLC",False,12,0,0.5313222,0,False,english,1569583871,1569583871
76561197965185542,1085660,699,20,20723,0,8484,1596458250,"Started playing Destiny 2 for the first time, full of content, having a blast.. every game has it's cons, but the pros outweigh them here.",True,2,0,0.5428202,0,False,english,1572748280,1572748280
76561197965240534,433850,0,4,17242,0,2785,1510322059,垃圾游戏，BUG贼多，,False,0,0,0.0,0,True,schinese,1489152333,1489152876
76561197965336531,230410,0,10,136,0,118,1590414148,"Played a few quest. very boring slash and shoot game.  it auto block enemy bullets with melee weapon,  just run and slash, run (bullet proof because auto blocking if not attacking) and slash, run and slash......  story not interesting as well.  as for graphic, average, and with a character without FACE, terrible design.   in shorts: controlling a faceless robot, run and slash everywhere, grind pick material to craft and upgrade weapon. if you can accept this, then its ok for you.",False,1,1,0.42735043,0,False,english,1590385029,1590385029
76561197965354131,504460,613,45,17,0,17,1527243262,It´s a great game - we just miss you! So buy this game right now and start playing with us!  To the DEVs please do some free weekends to get more players into this great game!,True,1,0,0.5192308,0,True,english,1527243489,1527243489
76561197965378642,10,0,1,414,0,414,1483879437,10/10  UNIKAT,True,0,0,0.0,0,False,polish,1486067954,1486067954
76561197965396550,842100,0,6,885,0,885,1604244678,"If you can't already tell, this game is a love letter to Resident Evil.  I think it is important to put yourself in the right perspective when playing this game.  It's like we get a chance to go to an alternate universe where RE2 and 3 remake didnt happen, and in that lens, this game is fantastic.  Is there some annoying stuff? Yes, but if you are an RE fan and want a new RE experience then pick this up.  I hope these guys make another daymare game and take all the cool stuff from RE 2 and 3 remake and add it.",True,0,0,0.0,0,False,english,1604249299,1604249299
76561197965399152,209000,0,2,5201,0,3905,1495762258,Great game if you like Batman Arkham City or Asylum but there are a few bugs still in the game as of its 6th patch.  Still very much enjoyable.,True,0,0,0.0,0,False,english,1403240790,1403240790
76561197965422000,1097150,128,16,345,0,85,1599955528,"O Jogo é divertido , prevejo madrugadas jogando e rachando a cara de tanto rir !   Desculpa mais eu sou aqueles que fica te segurando  na linha de chegada ! KKKKKKKKKKKKKKKKKKKKKKKKKK",True,0,0,0.0,0,False,brazilian,1597975191,1597975191
76561197965542968,8870,0,15,518,0,435,1417973657,"I bought this game thinking it was an FPS.  It's actually a Hobo Simulator in which you search for loose change under park benches and eat food out of trashcans, but it's good fun anyways.",True,110,459,0.74078107,4,False,english,1417373965,1417373965
76561197965767649,306760,395,4,608,0,608,1496934284,"Visually appealing, but thin on puzzles. There are a few mind benders but many puzzles are incredibly straight forward to solve. Some puzzles require multiple loading/reloading of areas which can be tedious unless you have a SSD drive.  If you like exploring strange worlds and a background sci-fi story, check it out. If you'd prefer to be solving puzzles, I'd look elsewhere, as Obduction is two-thirds exploration, and interesting puzzles few and far between.  On my machine the game also suffers from frequent stuttering whilst walking around.",False,71,0,0.704735,4,False,english,1496934017,1496946220
76561197965795228,650500,0,72,721,0,721,1588430448,"""Ce nouvel épisode du reboot de Wolfenstein est dans la droite ligne du précédent: une ambiance dystopique pleine de machines infernal au diesel, un gameplay nerveux mêlant brutalité et infiltration et une histoire sans temps morts. La seule pointe de regret que j'aurais à émettre est au sujet de sa toute fin, qui arrive un peu soudainement et sans affronter de véritable boss final. Mais c'est vraiment faire la fine bouche, parceque le jeu est globalement dans le très haut du panier des FPS """"narratifs"""".""",True,0,0,0.0,0,False,french,1588430669,1588430669
76561197965865645,49520,0,1,6027,0,5301,1567990250,awesome,True,0,0,0.0,0,False,english,1562445371,1562445371
76561197965902680,361420,0,12,1507,0,1064,1579425895,"Fun game... in Alpha its fun, and it looks like it has a good future in store for it. I like Survival... I like Crafting and upgrading stuff. The price is right and marketed as it is. - a Alpha (Not a Repeat of No Mans Sky) It already has Multiplayer for 4 people (Even though the only way to join them is to look on your Steam Friend List and Join, or invite someone, its in there already. (Nice surprise to have multiplayer working.) - (Side note... Devs, please add a Multiplayer Join menu in the game)  Here is one of my Adventures of Artifact collection from a deep cave: LOL http://images.akamai.steamusercontent.com/ugc/96098571528837584/E3D2BED15B6D567302789810EE7A109081B923D3/  I definitely recommend picking up this game sooner than later, as it it inexpensive now, (Which it may not be in the future) works well (No Game Busting Glitches), fun, has a goiod following already, and will have many things added in the future, as it goes from Alpha to beta, to release.",True,0,0,0.0,0,True,english,1483339711,1483339759
76561197966024509,578080,0,4,92266,0,62354,1689032789,Super fun battle royal for players for enjoy more realistic gun physics!,True,0,0,0.0,0,False,english,1572567481,1572567481
76561197966107556,444250,1062,100,12,0,12,1461385594,It could be a small funny game if it wasn't for all the dicerolling in the background.,False,3,0,0.50617284,0,False,english,1461385547,1461385547
76561197966159485,1151340,0,10,82,0,82,1589495376,"Despite ALL the other reasons people hate this game, and even the reasons it got better. The single reason I cannot stand playing is the Menu system. It's like a 10 year old was given a console port, and told that it needed keyboard buttons assigned to it. Navigating ANYTHING in the game is just horrible, 100% ruins any immersion or sense of being.",False,3,1,0.44733018,0,False,english,1589495533,1589495533
76561197966349270,1372320,1020,12,214,0,78,1633377457,This game is outstandingly chill.,True,1,0,0.52380955,0,True,dutch,1606412626,1606412626
76561197966360445,218620,0,2,6922,0,5225,1424010409,"It's like Metal Gear Solid and Spliter Cell meets bank robbery.  Oh, and Masks. And Guns.",True,0,0,0.0,0,False,english,1404058976,1405988021
76561197966386565,550,0,8,56273,0,48342,1616898286,I recommend that no ones buys this. NOW GIVE ME MY COAL.,True,0,0,0.0,0,False,english,1325018447,1325018447
76561197966488639,460950,399,3,317,0,315,1564160158,Un excellent jeu de Ninja dans l'esprit Hotline Miami !,True,0,0,0.0,0,False,french,1562005253,1562005253
76561197966719971,394510,0,47,5030,0,1996,1659556115,WIR KÄMPFEN FÜR DIE FREIHEIT DENN WIR SIND ECHT VOLL DA,True,2,0,0.54545456,0,False,german,1503472069,1503472069
76561197966719971,518790,0,47,4077,0,864,1664149684,"""Never thought I would like it.  And now...""""Sniping no wiping""""""",True,1,0,0.52380955,0,False,german,1603202885,1603202885
76561197966818361,230410,0,1,2164,0,2164,1390084987,"Joli graphiquement, un bon jeu arcade en free à consommer entre potes.",True,0,0,0.0,0,False,french,1391109074,1391109074
76561197966925102,440900,293,4,2018,0,1374,1651602633,"Live, love, burn with life, slay and survive!",True,0,0,0.0,0,False,english,1594365605,1594365605
